Occurrence_Code,acft_model,num_eng,eng_type,crew_category,crew_age,latitude,longitude,light_cond,vis_sm,wx_temp,wind_dir_deg,wind_vel_kts,altimeter,code
550250,PA 28-180,1.0,REC,PLT,56.0,381326N,1222659W,DAYL,10.0,57.0,80.0,10.0,30.1900005340576,UNK
153081,PC-12/45,1.0,TP,PLT,59.0,035321N,0973829W,NITE,10.0,0.0,170.0,16.0,30.6399993896484,UNK
500342,PA-28-161,1.0,REC,FLTI,30.0,253726N,0803426W,DAYL,10.0,73.0,100.0,13.0,30.2900009155273,NET
500342,PA-28-161,1.0,REC,DSTU,49.0,253726N,0803426W,DAYL,10.0,73.0,100.0,13.0,30.2900009155273,NET
600341,R172K,1.0,REC,PLT,57.0,038128N,0773515W,DAYL,10.0,48.0,160.0,5.0,30.2900009155273,FSS
551240,152,1.0,REC,DSTU,36.0,040276N,0010504W,DAYL,10.0,19.0,150.0,5.0,30.2600002288818,AUTR
350330,PA-31-350,2.0,REC,PLT,50.0,057452N,0152287W,DAYL,10.0,25.0,300.0,17.0,28.9599990844727,AUTR
502120,1900C,2.0,TP,PLT,38.0,021512N,1591927W,NDRK,10.0,68.0,30.0,23.0,30.1200008392334,COMP
450190,PA-12,1.0,REC,PLT,63.0,454259N,0120594W,DAYL,10.0,48.0,164.62222297823436,5.2,29.886443759796403,UNK
200200,CL-600-2C10,2.0,TF,PLT,39.0,037378N,1222229W,NITE,10.0,52.0,231.3214422651652,6.623941197691196,30.2700004577637,COMP
200200,CL-600-2C10,2.0,TF,CPLT,36.0,037378N,1222229W,NITE,10.0,52.0,231.3214422651652,6.623941197691196,30.2700004577637,COMP
200200,757-222,2.0,TF,OTHR,55.0,037378N,1222229W,NITE,10.0,52.0,231.3214422651652,6.623941197691196,30.2700004577637,COMP
402342,207,1.0,REC,PLT,58.0,613454N,1593230W,DAYL,0.5,32.0,190.0,5.0,29.7900009155273,AUTR
450341,RV8,1.0,REC,PLT,63.0,461917N,0935025W,DAYL,8.0,21.0,360.0,5.0,30.0100002288818,TVRA
253330,737-2H4,2.0,TF,PLT,58.0,040515N,0964555W,NITE,10.0,37.0,280.0,6.0,30.0499992370605,UNK
253330,737-2H4,2.0,TF,CPLT,47.0,040515N,0964555W,NITE,10.0,37.0,280.0,6.0,30.0499992370605,UNK
500270,172L,1.0,REC,PLT,31.0,275447N,0824029W,DAYL,10.0,79.0,210.0,11.0,29.8999996185303,UNK
350341,AA-5B,1.0,REC,PLT,46.0,421138N,0711040W,DAYL,10.0,30.0,200.0,5.0,30.2999992370605,FSS
350240,GENESIS,1.0,REC,PLT,42.0,039436N,0764940W,DAYL,10.0,39.0,140.0,4.0,30.3099994659424,UNK
501240,PA46-500TP,1.0,TP,PLT,65.0,292047N,0981740W,DAYL,2.0,37.0,360.0,10.0,30.1299991607666,NET
350334,500B,2.0,REC,PLT,31.0,361333N,0955322W,NITE,3.0,32.0,300.0,18.0,30.0,AUTR
506250,150M,1.0,REC,PLT,24.0,335256N,0117373W,DAYL,10.0,61.0,270.0,7.0,29.8999996185303,UNK
506250,150M,1.0,REC,PLT,24.0,335256N,0117373W,DAYL,10.0,61.0,270.0,7.0,29.8999996185303,UNK
350341,U206F,1.0,REC,PLT,52.0,281714N,0081268W,DAYL,10.0,54.0,360.0,10.0,30.3199996948242,AUTR
100340,PA32-301FT,1.0,REC,PLT,52.0,304831N,0891129W,DAYL,10.0,52.0,210.0,6.0,30.1700000762939,UNK
450240,SR22,1.0,REC,PLT,53.0,345126N,0973511W,DAYL,10.0,57.0,80.0,5.0,29.9799995422363,UNK
551093,G-21A,2.0,REC,PLT,58.0,245229N,0811348W,DAYL,10.0,73.0,140.0,9.0,30.0400009155273,AUTR
451220,RV-4,1.0,REC,PLT,64.0,361652N,0804649W,DAYL,10.0,59.0,70.0,3.0,30.1700000762939,UNK
990240,Clipper,1.0,REC,FLTI,60.0,315626N,0111454W,DAYL,10.0,45.0,246.6095518619668,8.312060966810964,30.2900009155273,UNK
990240,Clipper,1.0,REC,DSTU,57.0,315626N,0111454W,DAYL,10.0,45.0,246.6095518619668,8.312060966810964,30.2900009155273,UNK
450240,Free Bird Sportlite,1.0,REC,PLT,21.0,031100N,0873130W,DAYL,10.0,55.0,330.0,5.0,30.25,UNK
100040,PA-28-R200,1.0,REC,PLT,37.0,035155N,0811510W,DAYL,10.0,30.0,100.0,3.0,30.5100002288818,COWX
508341,17-30A,1.0,REC,PLT,51.0,475353N,1221710W,DAYL,10.0,37.0,20.0,5.0,29.5499992370605,AUTR
